SF_ID,OTHER_ID,SF_NAME,SF_TYPE_CD,SF_TYPE,SF_STATUS_CD,SF_STATUS,SF_PRIORITY_CD,SF_PRIORITY,SF_PROBLEM_CODE,SF_PROBLEM_CODE_DESCRIPTION,HEIGHT_FT,VOLUME_CY,FLOW_GPM,KEYWORDS,SHAPEAREA,SHAPELEN,OBJECTID
806516,0001-09,0001-09,RFSPL,Refuse Pile,COM,Reclamation Complete,3,Environmental Impact,41,41 Refuse Pile,15,21500,,GO,20901.94694223,641.896477381838,11011280
806517,0001-10,0001-10,SUB,Subsidence Area,ABAND,Abandoned,UNDET,Priority has not been determined,08,08 Subsidence Prone Area,3,0,,SP,31566.915310495,695.244596959025,11011281
806518,0001-11,0001-11,SUB,Subsidence Area,COM,Reclamation Complete,2,Health or Safety Impact,08,08 Subsidence Prone Area,10,0,,S,10577.649363445,377.472038151399,11011282
806519,0001-12,0001-12,SUB,Subsidence Area,COM,Reclamation Complete,2,Health or Safety Impact,08,08 Subsidence Prone Area,10,0,,S,8858.456939665,361.846834797385,11011283
806520,0002-01,0002-01,ACSM,Coal Surface Mine,COM,Reclamation Complete,2,Health or Safety Impact,20,20 Dry Strip Mine,40,0,,DH,56539.193337245,1282.19792799218,11011284
806524,0002-05,0002-05,ACSM,Coal Surface Mine,ABAND,Abandoned,3,Environmental Impact,20,20 Dry Strip Mine,0,0,,SA,128373.956159005,3150.37903014622,11011285
806527,0002-08,0002-08,ACSM,Coal Surface Mine,ABAND,Abandoned,3,Environmental Impact,20,20 Dry Strip Mine,0,0,,SA,143217.93032359,1497.35732054175,11011286
806530,0003-01,0003-01,ACSM,Coal Surface Mine,COM,Reclamation Complete,2,Health or Safety Impact,20,20 Dry Strip Mine,40,129000,,DH,40416.185008155,1110.22770035875,11011287
806531,0004-01,0004-01,ACSM,Coal Surface Mine,ABAND,Abandoned,3,Environmental Impact,20,20 Dry Strip Mine,40,130000,,,35125.895379085,1140.04641573997,11011288
806532,0004-02,0004-02,ACSM,Coal Surface Mine,ABAND,Abandoned,3,Environmental Impact,20,20 Dry Strip Mine,60,200000,,,30807.162296265,1154.48765250544,11011289
806533,0004-03,0004-03,ACSM,Coal Surface Mine,COM,Reclamation Complete,2,Health or Safety Impact,20,20 Dry Strip Mine,40,200000,,DH,43300.951470165,1727.33000707865,11011290
806534,0004-04,0004-04,ACSM,Coal Surface Mine,COM,Reclamation Complete,2,Health or Safety Impact,20,20 Dry Strip Mine,60,130000,,DH,21710.71598484,828.398277204136,11011291
806535,0004-05,0004-05,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,20,20 Dry Strip Mine,50,300000,,DH,65431.7071303,1833.4090414383,11011292
806536,0004-06,0004-06,ACSM,Coal Surface Mine,COM,Reclamation Complete,2,Health or Safety Impact,20,20 Dry Strip Mine,30,30000,,DH,10586.79288791,446.825469523578,11011293
806537,0004-07,0004-07,SPOIL,Spoil Area,COM,Reclamation Complete,3,Environmental Impact,22,22 Spoil Pile,20,300000,,SA,225738.66892582,2556.53366275384,11011294
806538,0004-08,0004-08,ACSM,Coal Surface Mine,COM,Reclamation Complete,2,Health or Safety Impact,20,20 Dry Strip Mine,60,350000,,DH,72754.617391885,2543.20080651138,11011567
806539,0005-01,0005-01,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,21,21 Flooded Strip Mine,15,94000,,HWB,31336.673203835,898.751044063349,11011568
806540,0005-02,0005-02,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,21,21 Flooded Strip Mine,15,0,,HWB,247767.417561235,4181.38428012094,11011569
806541,0005-03,0005-03,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,21,21 Flooded Strip Mine,15,0,,HWB,86204.97787649,1517.86413686593,11011570
806542,0005-04,0005-04,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,20,20 Dry Strip Mine,10,468000,,DPE,700037.39385186,7539.41690597199,11011571
806543,0006-01,0006-01,ACSM,Coal Surface Mine,ABAND,Abandoned,3,Environmental Impact,20,20 Dry Strip Mine,25,27000,,,10619.64923428,569.760364711242,11011572
806544,0006-02,0006-02,ACSM,Coal Surface Mine,ABAND,Abandoned,3,Environmental Impact,20,20 Dry Strip Mine,20,32000,,,15793.69765013,713.770757217513,11011573
806546,0007-02,0007-02,ACSM,Coal Surface Mine,ABAND,Abandoned,3,Environmental Impact,20,20 Dry Strip Mine,20,20000,,,12152.73645542,512.421782286564,11011574
806547,0007-03,0007-03,RFSPL,Refuse Pile,ABAND,Abandoned,3,Environmental Impact,41,41 Refuse Pile,5,19279,,,29506.864411775,763.30422699324,11011575
806552,0008-01,0008-01,ACSM,Coal Surface Mine,ABAND,Abandoned,3,Environmental Impact,20,20 Dry Strip Mine,40,129000,,,49333.55390114,958.658176224179,11011576
806556,0010-01,0010-01,ACSM,Coal Surface Mine,ABAND,Abandoned,3,Environmental Impact,21,21 Flooded Strip Mine,20,0,,,11291.816097525,515.66228264025,11011577
806557,0010-02,0010-02,SPOIL,Spoil Area,ABAND,Abandoned,3,Environmental Impact,22,22 Spoil Pile,15,8000,,,6395.489481445,402.176214252072,11011578
806558,0010-03,0010-03,ACSM,Coal Surface Mine,ABAND,Abandoned,3,Environmental Impact,20,20 Dry Strip Mine,35,56000,,,21860.148387355,994.341519112559,11011579
806559,0010-04,0010-04,SPOIL,Spoil Area,ABAND,Abandoned,3,Environmental Impact,22,22 Spoil Pile,25,54000,,,37958.03060987,1327.07234374673,11011580
806560,0010-05,0010-05,ACSM,Coal Surface Mine,ABAND,Abandoned,3,Environmental Impact,21,21 Flooded Strip Mine,20,0,,,12633.184980985,664.34544167758,11011581
806561,0011-01,0011-01,ACDM,Coal Deep Mine,ABAND,Abandoned,3,Environmental Impact,50,50 Underground Mine Fire,0,0,,,22852.71116531,625.254590744641,11011582
806562,0012-01,0012-01,ACSM,Coal Surface Mine,COM,Reclamation Complete,2,Health or Safety Impact,21,21 Flooded Strip Mine,0,0,,HWB,42456.914451055,967.472387989184,11011583
806563,0012-02,0012-02,ACSM,Coal Surface Mine,COM,Reclamation Complete,3,Environmental Impact,20,20 Dry Strip Mine,0,0,,SA,24498.173972255,976.403246224607,11011584
806564,0012-03,0012-03,ACSM,Coal Surface Mine,COM,Reclamation Complete,2,Health or Safety Impact,21,21 Flooded Strip Mine,0,0,,HWB,15327.566164385,780.104996118557,11011585
806565,0012-04,0012-04,ACSM,Coal Surface Mine,COM,Reclamation Complete,3,Environmental Impact,20,20 Dry Strip Mine,0,0,,SA,20275.600610495,874.046841299539,11011586
806566,0012-05,0012-05,ACSM,Coal Surface Mine,COM,Reclamation Complete,3,Environmental Impact,21,21 Flooded Strip Mine,0,0,,PI,8971.83129199,355.918793398883,11011587
