PERMIT,MINE,OPERATOR,TYPE,STATUS,COAL_SEAM,COUNTY,SHAPEAREA,SHAPELEN,OBJECTID
03981301,Parkwood,"Western Allegheny Energy, LLC",Room and Pillar,Active,Upper Freeport,Armstrong,26135234.0003286,26533.0427517977,413304
56101301,A Seam Deep Mine,"PBS Coals, Inc",Room and Pillar,Pending,Brookville,Somerset,21870281.7808901,37083.7958100852,413305
30101302,Garards Fort,"Dana Mining Co. of PA, LLC",Room and Pillar,Active,Sewickley,Greene,9485609.0040991,23720.6819603054,413306
56961301,Sarah,RoxCoal,Room and Pillar,Active,Upper Kittanning,Somerset,6294857.35079428,12865.7969826214,413307
56111301,Cass No 1,"LCT Energy, LP",Room and Pillar,Active,Lower Freeport,Somerset,3651850.45012747,8951.53933223733,413308
56111303,Maple Springs,"LCT Energy, LP",Room and Pillar,Active,Lower Kittanning,Somerset,27021275.5888167,38556.6230696411,413309
32041301,Brush Valley,Rosebud Mining Company,Room and Pillar,Active,Lower Kittanning,Indiana,31546526.8049993,36212.1121982167,413310
56081301,Brubaker,"LCT Energy, LC",Room and Pillar,Active,Lower Kittanning,Somerset,5264436.01835375,14889.3693600061,413302
56121301,North Fork,AK Coal Resources,Room and Pillar,Active,Middle Kittanning,Indiana,31742029.598377,44353.5633810955,413341
30121301,Harvey,Consol Pennsylvania Coal Co,Longwall,Pending,Pittsburgh,Greene,20237612.8674663,19225.1510670507,413342
30841317,Enlow Fork,CONSOL PA Coal Co,Longwall,Pending,Pittsburgh,Greene,25828385.2067954,22900.4180924058,413343
56111302,Acosta Deep Mine,Wilson Creek Energy LLC,Room and Pillar,Active,Middle Kittanning,Somerset,19315860.8316244,29941.8414553884,413344
56111301,Cass No 1,"LCT Energy, LP",Room and Pillar,Pending,Upper Freeport,Somerset,9694757.78286562,21391.7200076531,413345
26131301,Keyser Deep Mine,Wilson Creek Energy LLC,Room and Pillar,Active,Lower Kittanning,Somerset,28122136.6797804,28833.8804318696,413346
30831303,Cumberland,"Cumberland Contura, LLC",Longwall,Pending,Pittsburgh,Greene,11945747.2529165,17253.1458244227,413347
30831303,Cumberland,"Cumberland Contura, LLC",Longwall,Pending,Pittsburgh,Greene,5444764.0247158,13016.4096330776,413348
30841316,Bailey Mine,CONSOL PA Coal Co,Longwall,Pending,Pittsburgh,Greene,32266943.6140125,26499.912280758,413349
56841328,Mine 78,Rosebud Mining,Room and Pillar,Pending,Upper Kittanning,Somerset,15669420.7776902,28408.010890388,413350
56111302,Acosta Deep Mine,Wilson Creek Energy LLC,Room and Pillar,Pending, ,Somerset,18739155.8621071,25881.346382298,413351
03991301,Logansport,Rosebud Mining,Room and Pillar,Active,Lower Kittanning,Armstrong,89043380.6217157,52717.0583463001,413262
30841317,Enlow Fork,CONSOL PA Coal Co,Longwall,Active,Pittsburgh,Greene,290121505.836596,90055.6996202198,413263
30841312,Monongalia County Mine,Monongalia County Coal Company,Longwall,Active,Pittsburgh,Greene,209076081.215287,74109.1941013573,413264
32951301,Toms Run,Rosebud Mining,Room and Pillar,Active,Upper Freeport,Indiana,30290420.6975508,36629.3110063009,413265
32991301,Nolo,Rosebud Mining Company,Room and Pillar,Active,Lower Kittanning,Indiana,51825988.9864766,42379.4018096755,413266
32981301,North Branch,RoxCoal,Room and Pillar,Active,Lower Kittanning,Indiana,19301769.3589979,28080.1590344381,413267
11031301,Madison,Rosebud Mining,Room and Pillar,Active,Upper Freeport,Cambria,77339345.6947182,49049.3039266173,413271
32961302,Ondo,"Amfire Mining Company, LLC",Room and Pillar,Active,Lower Kittanning,Indiana,18962434.6282792,39370.8700627155,413311
56981301,Quecreek No 1,Quecreek Mining Inc,Room and Pillar,Active,Upper Kittanning,Somerset,33929951.6272778,31675.1605635018,413312
